Email,First name,Last name,Job title,In company from,Birthday,Phone,Personal email,Holiday days count,Balance days,Taken days,Pending days,Approved days,Available days,Non-accrued totals,Public notes,Private notes
kr@anadeainc.com,"","","",23/07/2018,,                                                                                                                                                                                                                                                               ,PERSONALEMAIL@email.com,-5.0,-5,11,0,0,-5,0,"",""
ryshchenko.k@gmail.com,a,b,,24/07/2018,,,"",0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
email@mailco.m,"","","",27/07/2018,,"","",0.0,0,0,0,0,0,0,,""
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
"",,,,,,,,0.0,0,0,0,0,0,0,,
er@e.cm,1,2,,30/07/2018,,,"",0.0,0,0,0,0,0,0,,
47e@mailc.om,first_name1,last_name1,job1,25/07/2018,26/07/2018,38050,47e@mailc.om,5.0,5,0,0,0,5,0,,not
48e@mailc.om,first_name2,last_name2,job1,25/07/2018,26/07/2018,38050,48e@mailc.om,6.0,6,0,0,0,6,0,,not
49e@mailc.om,first_name3,last_name3,job1,25/07/2018,26/07/2018,38050,49e@mailc.om,7.0,7,0,0,0,7,0,,not
50e@mailc.om,first_name4,last_name4,job1,25/07/2018,26/07/2018,38050,50e@mailc.om,8.0,8,0,0,0,8,0,,not
51e@mailc.om,first_name5,last_name5,job1,25/07/2018,26/07/2018,38050,51e@mailc.om,9.0,9,0,0,0,9,0,,not
